reference_id,test_id,test_type,venue_type,file_path,score,normalized_score,threshold,is_anomaly,mu,sigma,gated
non_ostruite/poli ingegneria/porta_1_ref.jpg,non_ostruite/poli ingegneria/porta_1_ref.jpg,normal,porta,non_ostruite/poli ingegneria/porta_1_ref.jpg,0.0,-11.175262,3.227194,0,2.376548,0.264504,1
non_ostruite/poli ingegneria/porta_1_ref.jpg,non_ostruite/poli ingegneria/porta_1_1.jpg,bg_normal,porta,non_ostruite/poli ingegneria/porta_1_1.jpg,0.0,-11.175262,3.227194,0,2.376548,0.264504,1
non_ostruite/poli ingegneria/porta_1_ref.jpg,non_ostruite/poli ingegneria/porta_1_2.jpg,bg_normal,porta,non_ostruite/poli ingegneria/porta_1_2.jpg,0.0,-11.175262,3.227194,0,2.376548,0.264504,1
non_ostruite/poli ingegneria/porta_1_ref.jpg,non_ostruite/poli ingegneria/porta_1_3.jpg,bg_normal,porta,non_ostruite/poli ingegneria/porta_1_3.jpg,0.0,-11.175262,3.227194,0,2.376548,0.264504,1
non_ostruite/poli ingegneria/porta_1_ref.jpg,ostruzioni_poli_ingegneria/porta_1_1.jpg,obstructed,porta,ostruzioni_poli_ingegneria/porta_1_1.jpg,4.163103,8.400933,3.227194,1,2.376548,0.264504,1
non_ostruite/poli ingegneria/porta_1_ref.jpg,ostruzioni_poli_ingegneria/porta_1_2.jpg,obstructed,porta,ostruzioni_poli_ingegneria/porta_1_2.jpg,4.368732,9.367864,3.227194,1,2.376548,0.264504,1
non_ostruite/poli ingegneria/porta_1_ref.jpg,ostruzioni_poli_ingegneria/porta_1_3.jpg,obstructed,porta,ostruzioni_poli_ingegneria/porta_1_3.jpg,4.262137,8.866621,3.227194,1,2.376548,0.264504,1
non_ostruite/poli ingegneria/porta_2_ref.jpg,non_ostruite/poli ingegneria/porta_2_ref.jpg,normal,porta,non_ostruite/poli ingegneria/porta_2_ref.jpg,0.0,-12.941561,3.602818,0,2.752172,0.160819,1
non_ostruite/poli ingegneria/porta_2_ref.jpg,non_ostruite/poli ingegneria/porta_2_1.jpg,bg_normal,porta,non_ostruite/poli ingegneria/porta_2_1.jpg,0.0,-12.941561,3.602818,0,2.752172,0.160819,1
non_ostruite/poli ingegneria/porta_2_ref.jpg,non_ostruite/poli ingegneria/porta_2_2.jpg,bg_normal,porta,non_ostruite/poli ingegneria/porta_2_2.jpg,0.0,-12.941561,3.602818,0,2.752172,0.160819,1
non_ostruite/poli ingegneria/porta_2_ref.jpg,non_ostruite/poli ingegneria/porta_2_3.jpg,bg_normal,porta,non_ostruite/poli ingegneria/porta_2_3.jpg,0.0,-12.941561,3.602818,0,2.752172,0.160819,1
