reference_id,test_id,test_type,venue_type,file_path,score,normalized_score,threshold,is_anomaly,mu,sigma,gated
non_ostruite/corridoi/corridoio_001.jpeg,non_ostruite/corridoi/corridoio_001.jpeg,normal,corridoio,non_ostruite/corridoi/corridoio_001.jpeg,2.660499,-0.29478,3.950563,0,2.749045,0.153189,0
non_ostruite/corridoi/corridoio_001.jpeg,shadow_test/normali_corridoi/corridoio_001_shadow00.jpeg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_001_shadow00.jpeg,3.264092,1.714654,3.950563,0,2.749045,0.153189,0
non_ostruite/corridoi/corridoio_001.jpeg,light_test/normali_corridoi/corridoio_001_light00.jpeg,light_normal,corridoio,light_test/normali_corridoi/corridoio_001_light00.jpeg,3.063486,1.046812,3.950563,0,2.749045,0.153189,0
non_ostruite/corridoi/corridoio_001.jpeg,ostruzioni_reali/images/corridoio_001_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_001_ostruita.jpg,4.971309,7.398188,3.950563,1,2.749045,0.153189,0
non_ostruite/corridoi/corridoio_002.jpg,non_ostruite/corridoi/corridoio_002.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_002.jpg,2.444528,-0.448842,3.780869,0,2.579351,0.328281,0
non_ostruite/corridoi/corridoio_002.jpg,shadow_test/normali_corridoi/corridoio_002_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_002_shadow00.jpg,3.037405,1.524918,3.780869,0,2.579351,0.328281,0
non_ostruite/corridoi/corridoio_002.jpg,light_test/normali_corridoi/corridoio_002_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_002_light00.jpg,3.463209,2.942471,3.780869,0,2.579351,0.328281,0
non_ostruite/corridoi/corridoio_002.jpg,ostruzioni_reali/images/corridoio_002_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_002_ostruita.jpg,4.72192,7.132873,3.780869,1,2.579351,0.328281,0
non_ostruite/corridoi/corridoio_003.jpg,non_ostruite/corridoi/corridoio_003.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_003.jpg,2.570493,-0.095612,3.800731,0,2.599213,0.157158,0
non_ostruite/corridoi/corridoio_003.jpg,shadow_test/normali_corridoi/corridoio_003_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_003_shadow00.jpg,2.875942,0.921265,3.800731,0,2.599213,0.157158,0
non_ostruite/corridoi/corridoio_003.jpg,light_test/normali_corridoi/corridoio_003_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_003_light00.jpg,2.554947,-0.147367,3.800731,0,2.599213,0.157158,0
non_ostruite/corridoi/corridoio_003.jpg,ostruzioni_reali/images/corridoio_003_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_003_ostruita.jpg,4.814979,7.376555,3.800731,1,2.599213,0.157158,0
non_ostruite/corridoi/corridoio_004.jpg,non_ostruite/corridoi/corridoio_004.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_004.jpg,2.524713,-0.94822,4.011057,0,2.809539,0.455315,0
non_ostruite/corridoi/corridoio_004.jpg,shadow_test/normali_corridoi/corridoio_004_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_004_shadow00.jpg,2.890386,0.26915,4.011057,0,2.809539,0.455315,0
non_ostruite/corridoi/corridoio_004.jpg,light_test/normali_corridoi/corridoio_004_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_004_light00.jpg,3.170636,1.202136,4.011057,0,2.809539,0.455315,0
non_ostruite/corridoi/corridoio_004.jpg,ostruzioni_reali/images/corridoio_004_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_004_ostruita.jpg,4.608262,5.988168,4.011057,1,2.809539,0.455315,0
non_ostruite/corridoi/corridoio_005.jpg,non_ostruite/corridoi/corridoio_005.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_005.jpg,2.327281,-0.439767,3.660896,0,2.459378,0.24872,0
non_ostruite/corridoi/corridoio_005.jpg,shadow_test/normali_corridoi/corridoio_005_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_005_shadow00.jpg,2.933167,1.577301,3.660896,0,2.459378,0.24872,0
non_ostruite/corridoi/corridoio_005.jpg,light_test/normali_corridoi/corridoio_005_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_005_light00.jpg,3.243859,2.611633,3.660896,0,2.459378,0.24872,0
non_ostruite/corridoi/corridoio_005.jpg,ostruzioni_reali/images/corridoio_005_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_005_ostruita.jpg,4.492027,6.766936,3.660896,1,2.459378,0.24872,0
non_ostruite/corridoi/corridoio_006.jpg,non_ostruite/corridoi/corridoio_006.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_006.jpg,2.505269,-0.524533,3.864346,0,2.662828,0.219415,0
non_ostruite/corridoi/corridoio_006.jpg,shadow_test/normali_corridoi/corridoio_006_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_006_shadow00.jpg,3.373434,2.365694,3.864346,0,2.662828,0.219415,0
non_ostruite/corridoi/corridoio_006.jpg,light_test/normali_corridoi/corridoio_006_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_006_light00.jpg,3.339568,2.25295,3.864346,0,2.662828,0.219415,0
non_ostruite/corridoi/corridoio_006.jpg,ostruzioni_reali/images/corridoio_006_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_006_ostruita.jpg,4.628973,6.545536,3.864346,1,2.662828,0.219415,0
non_ostruite/corridoi/corridoio_007.jpg,non_ostruite/corridoi/corridoio_007.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_007.jpg,2.617581,-0.390802,3.936488,0,2.73497,0.330693,0
non_ostruite/corridoi/corridoio_007.jpg,shadow_test/normali_corridoi/corridoio_007_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_007_shadow00.jpg,2.938813,0.678618,3.936488,0,2.73497,0.330693,0
