reference_id,test_id,test_type,venue_type,file_path,score,normalized_score,threshold,is_anomaly,mu,sigma,gated
non_ostruite/corridoi/corridoio_001.jpeg,non_ostruite/corridoi/corridoio_001.jpeg,normal,corridoio,non_ostruite/corridoi/corridoio_001.jpeg,3.064007,-0.31274,4.081902,0,3.13782,0.067875,0
non_ostruite/corridoi/corridoio_001.jpeg,shadow_test/normali_corridoi/corridoio_001_shadow00.jpeg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_001_shadow00.jpeg,3.128208,-0.040725,4.081902,0,3.13782,0.067875,0
non_ostruite/corridoi/corridoio_001.jpeg,light_test/normali_corridoi/corridoio_001_light00.jpeg,light_normal,corridoio,light_test/normali_corridoi/corridoio_001_light00.jpeg,3.086613,-0.21696,4.081902,0,3.13782,0.067875,0
non_ostruite/corridoi/corridoio_001.jpeg,ostruzioni_reali/images/corridoio_001_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_001_ostruita.jpg,4.919856,7.550344,4.081902,1,3.13782,0.067875,0
non_ostruite/corridoi/corridoio_002.jpg,non_ostruite/corridoi/corridoio_002.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_002.jpg,2.696627,-0.36543,3.726958,0,2.782876,0.267697,0
non_ostruite/corridoi/corridoio_002.jpg,shadow_test/normali_corridoi/corridoio_002_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_002_shadow00.jpg,2.990351,0.879055,3.726958,0,2.782876,0.267697,0
non_ostruite/corridoi/corridoio_002.jpg,light_test/normali_corridoi/corridoio_002_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_002_light00.jpg,3.343188,2.373997,3.726958,0,2.782876,0.267697,0
non_ostruite/corridoi/corridoio_002.jpg,ostruzioni_reali/images/corridoio_002_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_002_ostruita.jpg,4.789276,8.500956,3.726958,1,2.782876,0.267697,0
non_ostruite/corridoi/corridoio_003.jpg,non_ostruite/corridoi/corridoio_003.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_003.jpg,2.523154,-0.484699,3.581635,0,2.637553,0.203735,0
non_ostruite/corridoi/corridoio_003.jpg,shadow_test/normali_corridoi/corridoio_003_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_003_shadow00.jpg,2.7075,0.29636,3.581635,0,2.637553,0.203735,0
non_ostruite/corridoi/corridoio_003.jpg,light_test/normali_corridoi/corridoio_003_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_003_light00.jpg,2.560116,-0.328094,3.581635,0,2.637553,0.203735,0
non_ostruite/corridoi/corridoio_003.jpg,ostruzioni_reali/images/corridoio_003_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_003_ostruita.jpg,4.809803,9.203649,3.581635,1,2.637553,0.203735,0
non_ostruite/corridoi/corridoio_004.jpg,non_ostruite/corridoi/corridoio_004.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_004.jpg,2.809323,-0.490229,3.869109,0,2.925027,0.317189,0
non_ostruite/corridoi/corridoio_004.jpg,shadow_test/normali_corridoi/corridoio_004_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_004_shadow00.jpg,2.898074,-0.114198,3.869109,0,2.925027,0.317189,0
non_ostruite/corridoi/corridoio_004.jpg,light_test/normali_corridoi/corridoio_004_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_004_light00.jpg,3.28017,1.504712,3.869109,0,2.925027,0.317189,0
non_ostruite/corridoi/corridoio_004.jpg,ostruzioni_reali/images/corridoio_004_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_004_ostruita.jpg,4.670102,7.393743,3.869109,1,2.925027,0.317189,0
non_ostruite/corridoi/corridoio_005.jpg,non_ostruite/corridoi/corridoio_005.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_005.jpg,2.482568,-0.470171,3.53762,0,2.593538,0.168,0
non_ostruite/corridoi/corridoio_005.jpg,shadow_test/normali_corridoi/corridoio_005_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_005_shadow00.jpg,2.803412,0.889219,3.53762,0,2.593538,0.168,0
non_ostruite/corridoi/corridoio_005.jpg,light_test/normali_corridoi/corridoio_005_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_005_light00.jpg,2.886384,1.240765,3.53762,0,2.593538,0.168,0
non_ostruite/corridoi/corridoio_005.jpg,ostruzioni_reali/images/corridoio_005_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_005_ostruita.jpg,4.545739,8.271319,3.53762,1,2.593538,0.168,0
non_ostruite/corridoi/corridoio_006.jpg,non_ostruite/corridoi/corridoio_006.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_006.jpg,2.751219,-0.269947,3.759014,0,2.814932,0.100492,0
non_ostruite/corridoi/corridoio_006.jpg,shadow_test/normali_corridoi/corridoio_006_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_006_shadow00.jpg,3.306626,2.083268,3.759014,0,2.814932,0.100492,0
non_ostruite/corridoi/corridoio_006.jpg,light_test/normali_corridoi/corridoio_006_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_006_light00.jpg,3.007264,0.814895,3.759014,0,2.814932,0.100492,0
non_ostruite/corridoi/corridoio_006.jpg,ostruzioni_reali/images/corridoio_006_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_006_ostruita.jpg,4.712151,8.038365,3.759014,1,2.814932,0.100492,0
non_ostruite/corridoi/corridoio_007.jpg,non_ostruite/corridoi/corridoio_007.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_007.jpg,2.774312,-0.70735,3.885343,0,2.941261,0.302043,0
non_ostruite/corridoi/corridoio_007.jpg,shadow_test/normali_corridoi/corridoio_007_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_007_shadow00.jpg,3.073751,0.56135,3.885343,0,2.941261,0.302043,0
non_ostruite/corridoi/corridoio_007.jpg,light_test/normali_corridoi/corridoio_007_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_007_light00.jpg,3.371293,1.822011,3.885343,0,2.941261,0.302043,0
non_ostruite/corridoi/corridoio_007.jpg,ostruzioni_reali/images/corridoio_007_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_007_ostruita.jpg,4.715291,7.516423,3.885343,1,2.941261,0.302043,0
non_ostruite/corridoi/corridoio_008.jpg,non_ostruite/corridoi/corridoio_008.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_008.jpg,2.631147,-0.355355,3.6591,0,2.715018,0.310778,0
non_ostruite/corridoi/corridoio_008.jpg,shadow_test/normali_corridoi/corridoio_008_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_008_shadow00.jpg,2.832093,0.496037,3.6591,0,2.715018,0.310778,0
non_ostruite/corridoi/corridoio_008.jpg,light_test/normali_corridoi/corridoio_008_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_008_light00.jpg,3.391981,2.868238,3.6591,0,2.715018,0.310778,0
non_ostruite/corridoi/corridoio_008.jpg,ostruzioni_reali/images/corridoio_008_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_008_ostruita.jpg,4.627328,8.102304,3.6591,1,2.715018,0.310778,0
non_ostruite/corridoi/corridoio_009.jpg,non_ostruite/corridoi/corridoio_009.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_009.jpg,2.454798,-0.253207,3.458642,0,2.51456,0.161782,0
non_ostruite/corridoi/corridoio_009.jpg,shadow_test/normali_corridoi/corridoio_009_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_009_shadow00.jpg,2.436493,-0.330764,3.458642,0,2.51456,0.161782,0
non_ostruite/corridoi/corridoio_009.jpg,light_test/normali_corridoi/corridoio_009_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_009_light00.jpg,2.9842,1.989827,3.458642,0,2.51456,0.161782,0
non_ostruite/corridoi/corridoio_009.jpg,ostruzioni_reali/images/corridoio_009_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_009_ostruita.jpg,4.64049,9.007395,3.458642,1,2.51456,0.161782,0
non_ostruite/corridoi/corridoio_010.jpg,non_ostruite/corridoi/corridoio_010.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_010.jpg,2.816584,-0.649863,3.914047,0,2.969965,0.324076,0
non_ostruite/corridoi/corridoio_010.jpg,shadow_test/normali_corridoi/corridoio_010_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_010_shadow00.jpg,2.929551,-0.171231,3.914047,0,2.969965,0.324076,0
non_ostruite/corridoi/corridoio_010.jpg,light_test/normali_corridoi/corridoio_010_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_010_light00.jpg,3.454108,2.051275,3.914047,0,2.969965,0.324076,0
non_ostruite/corridoi/corridoio_010.jpg,ostruzioni_reali/images/corridoio_010_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_010_ostruita.jpg,4.52965,6.60826,3.914047,1,2.969965,0.324076,0
non_ostruite/corridoi/corridoio_011.jpg,non_ostruite/corridoi/corridoio_011.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_011.jpg,2.671319,-0.434204,3.717882,0,2.7738,0.264108,0
non_ostruite/corridoi/corridoio_011.jpg,shadow_test/normali_corridoi/corridoio_011_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_011_shadow00.jpg,3.106411,1.409246,3.717882,0,2.7738,0.264108,0
non_ostruite/corridoi/corridoio_011.jpg,light_test/normali_corridoi/corridoio_011_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_011_light00.jpg,3.217672,1.88065,3.717882,0,2.7738,0.264108,0
non_ostruite/corridoi/corridoio_011.jpg,ostruzioni_reali/images/corridoio_011_ostruita.jpg,obstructed,corridoio,ostruzioni_reali/images/corridoio_011_ostruita.jpg,4.298051,6.458129,3.717882,1,2.7738,0.264108,0
non_ostruite/corridoi/corridoio_012.jpg,non_ostruite/corridoi/corridoio_012.jpg,normal,corridoio,non_ostruite/corridoi/corridoio_012.jpg,2.496546,-0.121265,3.469249,0,2.525167,0.045098,0
non_ostruite/corridoi/corridoio_012.jpg,shadow_test/normali_corridoi/corridoio_012_shadow00.jpg,shadow_normal,corridoio,shadow_test/normali_corridoi/corridoio_012_shadow00.jpg,2.885606,1.527151,3.469249,0,2.525167,0.045098,0
non_ostruite/corridoi/corridoio_012.jpg,light_test/normali_corridoi/corridoio_012_light00.jpg,light_normal,corridoio,light_test/normali_corridoi/corridoio_012_light00.jpg,2.793231,1.135766,3.469249,0,2.525167,0.045098,0
