reference_id,test_id,test_type,venue_type,file_path,score,normalized_score,threshold,is_anomaly,mu,sigma,gated
non_ostruite/poli ingegneria/porta_1.jpg,non_ostruite/poli ingegneria/porta_1.jpg,normal,porta,non_ostruite/poli ingegneria/porta_1.jpg,0.0,-11.826151,3.400858,0,2.541304,0.198634,1
non_ostruite/poli ingegneria/porta_1.jpg,ostruzioni_poli_ingegneria/dietro_vetro_o_poster/porta_1.jpg,bg_normal,porta,ostruzioni_poli_ingegneria/dietro_vetro_o_poster/porta_1.jpg,0.0,-11.826151,3.400858,0,2.541304,0.198634,1
non_ostruite/poli ingegneria/porta_1.jpg,ostruzioni_poli_ingegneria/davanti_centro/porta_1.jpg,obstructed,porta,ostruzioni_poli_ingegneria/davanti_centro/porta_1.jpg,4.406813,8.681288,3.400858,1,2.541304,0.198634,1
non_ostruite/poli ingegneria/porta_1.jpg,ostruzioni_poli_ingegneria/davanti_destra/porta_1.jpg,obstructed,porta,ostruzioni_poli_ingegneria/davanti_destra/porta_1.jpg,4.488067,9.059409,3.400858,1,2.541304,0.198634,1
non_ostruite/poli ingegneria/porta_1.jpg,ostruzioni_poli_ingegneria/davanti_sinistra/porta_1.jpg,obstructed,porta,ostruzioni_poli_ingegneria/davanti_sinistra/porta_1.jpg,4.426492,8.772866,3.400858,1,2.541304,0.198634,1
non_ostruite/poli ingegneria/porta_2.jpg,non_ostruite/poli ingegneria/porta_2.jpg,normal,porta,non_ostruite/poli ingegneria/porta_2.jpg,0.0,-13.191617,3.694281,0,2.834727,0.157456,1
non_ostruite/poli ingegneria/porta_2.jpg,ostruzioni_poli_ingegneria/dietro_vetro_o_poster/porta_2.jpg,bg_normal,porta,ostruzioni_poli_ingegneria/dietro_vetro_o_poster/porta_2.jpg,0.0,-13.191617,3.694281,0,2.834727,0.157456,1
non_ostruite/poli ingegneria/porta_2.jpg,ostruzioni_poli_ingegneria/davanti_centro/porta_2.jpg,obstructed,porta,ostruzioni_poli_ingegneria/davanti_centro/porta_2.jpg,4.246334,6.56902,3.694281,1,2.834727,0.157456,1
non_ostruite/poli ingegneria/porta_2.jpg,ostruzioni_poli_ingegneria/davanti_destra/porta_2.jpg,obstructed,porta,ostruzioni_poli_ingegneria/davanti_destra/porta_2.jpg,4.321076,6.916838,3.694281,1,2.834727,0.157456,1
non_ostruite/poli ingegneria/porta_2.jpg,ostruzioni_poli_ingegneria/davanti_sinistra/porta_2.jpg,obstructed,porta,ostruzioni_poli_ingegneria/davanti_sinistra/porta_2.jpg,4.019193,5.512002,3.694281,1,2.834727,0.157456,1
non_ostruite/poli ingegneria/porta_3.jpg,non_ostruite/poli ingegneria/porta_3.jpg,normal,porta,non_ostruite/poli ingegneria/porta_3.jpg,0.0,-13.689992,3.801376,0,2.941822,0.364813,1
non_ostruite/poli ingegneria/porta_3.jpg,ostruzioni_poli_ingegneria/dietro_vetro_o_poster/porta_3.jpg,bg_normal,porta,ostruzioni_poli_ingegneria/dietro_vetro_o_poster/porta_3.jpg,0.0,-13.689992,3.801376,0,2.941822,0.364813,1
non_ostruite/poli ingegneria/porta_3.jpg,ostruzioni_poli_ingegneria/davanti_centro/porta_3.jpg,obstructed,porta,ostruzioni_poli_ingegneria/davanti_centro/porta_3.jpg,0.0,-13.689992,3.801376,0,2.941822,0.364813,1
non_ostruite/poli ingegneria/porta_3.jpg,ostruzioni_poli_ingegneria/davanti_destra/porta_3.jpg,obstructed,porta,ostruzioni_poli_ingegneria/davanti_destra/porta_3.jpg,4.737105,8.354486,3.801376,1,2.941822,0.364813,1
non_ostruite/poli ingegneria/porta_3.jpg,ostruzioni_poli_ingegneria/davanti_sinistra/porta_3.jpg,obstructed,porta,ostruzioni_poli_ingegneria/davanti_sinistra/porta_3.jpg,4.528482,7.383643,3.801376,1,2.941822,0.364813,1
non_ostruite/poli ingegneria/porta_4.jpg,non_ostruite/poli ingegneria/porta_4.jpg,normal,porta,non_ostruite/poli ingegneria/porta_4.jpg,0.0,-11.867587,3.409762,0,2.550208,0.231143,1
non_ostruite/poli ingegneria/porta_4.jpg,ostruzioni_poli_ingegneria/dietro_vetro_o_poster/porta_4.jpg,bg_normal,porta,ostruzioni_poli_ingegneria/dietro_vetro_o_poster/porta_4.jpg,0.0,-11.867587,3.409762,0,2.550208,0.231143,1
non_ostruite/poli ingegneria/porta_4.jpg,ostruzioni_poli_ingegneria/davanti_centro/porta_4.jpg,obstructed,porta,ostruzioni_poli_ingegneria/davanti_centro/porta_4.jpg,0.0,-11.867587,3.409762,0,2.550208,0.231143,1
non_ostruite/poli ingegneria/porta_4.jpg,ostruzioni_poli_ingegneria/davanti_destra/porta_4.jpg,obstructed,porta,ostruzioni_poli_ingegneria/davanti_destra/porta_4.jpg,4.209346,7.720925,3.409762,1,2.550208,0.231143,1
